original_id	renamed_id
EX_bet	EX_glyb_e
EX_biomass	EX_biomass
EX_biot	EX_btn_e
EX_ca2	EX_ca2_e
EX_co	EX_co_e
EX_co2	EX_co2_e
EX_cobalt2	EX_cobalt2_e
EX_cu2	EX_cu2_e
EX_fe2	EX_fe2_e
EX_fe3	EX_fe3_e
EX_h2	EX_h2_e
EX_h2o	EX_h2o_e
EX_hco3	EX_hco3_e
EX_k	EX_k_e
EX_mg	EX_mg2_e
EX_mn2	EX_mn2_e
EX_n2	EX_n2_e
EX_na	EX_na1_e
EX_nh4	EX_nh4_e
EX_no2	EX_no2_e
EX_NO3	EX_no3_e
EX_o2	EX_o2_e
EX_photon	EX_photon_e
EX_pi	EX_pi_e
EX_proton	EX_h_e
EX_slf	EX_so4_e
EX_urea	EX_urea_e
EX_zn2	EX_zn2_e
